begin,open,close,high,low,value,volume,end
2025-05-20 06:50:00,308.88,308.88,308.88,308.88,1844013.6000000006,5970,2025-05-20 06:59:59
2025-05-20 07:00:00,308.88,308.88,309.44,308.67,78950344.9,255470,2025-05-20 07:09:59
2025-05-20 07:10:00,308.76,309.45,309.47,308.68,29544971.0,95580,2025-05-20 07:19:59
2025-05-20 07:20:00,309.43,309.3,309.44,309.24,18385499.9,59430,2025-05-20 07:29:59
2025-05-20 07:30:00,309.3,309.19,309.3,309.17,13816338.700000003,44680,2025-05-20 07:39:59
2025-05-20 07:40:00,309.17,309.15,309.18,309.0,15636661.599999996,50600,2025-05-20 07:49:59
2025-05-20 07:50:00,309.16,309.31,309.33,309.15,6135578.2,19840,2025-05-20 07:59:59
2025-05-20 08:00:00,309.33,309.11,309.38,309.11,10796569.700000001,34910,2025-05-20 08:09:59
2025-05-20 08:10:00,309.14,309.2,309.27,309.04,8989718.3,29080,2025-05-20 08:19:59
2025-05-20 08:20:00,309.23,309.3,309.33,309.21,6371477.100000001,20600,2025-05-20 08:29:59
2025-05-20 08:30:00,309.3,309.36,309.37,309.24,15252767.200000001,49310,2025-05-20 08:39:59
2025-05-20 08:40:00,309.36,309.24,309.37,309.09,18670048.8,60380,2025-05-20 08:49:59
2025-05-20 08:50:00,309.25,309.38,309.39,309.23,4618695.199999999,14930,2025-05-20 08:59:59
2025-05-20 09:00:00,309.35,309.2,309.35,309.0,46687525.9,151070,2025-05-20 09:09:59
2025-05-20 09:10:00,309.19,309.22,309.55,309.07,71290274.7,230450,2025-05-20 09:19:59
2025-05-20 09:20:00,309.23,309.08,309.26,309.0,36668370.19999999,118650,2025-05-20 09:29:59
2025-05-20 09:30:00,309.08,309.0,309.1,309.0,34048266.599999994,110180,2025-05-20 09:39:59
2025-05-20 09:40:00,309.0,308.93,309.0,308.56,45732388.300000004,148140,2025-05-20 09:49:59
2025-05-20 09:50:00,308.93,308.9,309.04,308.72,19434846.2,62910,2025-05-20 09:59:59
2025-05-20 10:00:00,308.87,308.4,308.88,308.27,108146382.7,350600,2025-05-20 10:09:59
2025-05-20 10:10:00,308.37,308.71,308.79,308.15,96591588.80000003,313160,2025-05-20 10:19:59
2025-05-20 10:20:00,308.71,308.3,308.91,308.17,106700817.99999997,345950,2025-05-20 10:29:59
2025-05-20 10:30:00,308.23,308.06,308.67,308.05,142937031.2,463690,2025-05-20 10:39:59
2025-05-20 10:40:00,308.09,307.72,308.22,307.57,150645392.9,489330,2025-05-20 10:49:59
2025-05-20 10:50:00,307.7,307.21,307.73,307.0,234670815.70000005,763560,2025-05-20 10:59:59
2025-05-20 11:00:00,307.21,307.92,307.98,307.02,154340001.89999995,501790,2025-05-20 11:09:59
2025-05-20 11:10:00,307.92,307.56,308.24,307.48,141352033.3,459080,2025-05-20 11:19:59
2025-05-20 11:20:00,307.52,307.28,307.64,307.1,106593126.6,346820,2025-05-20 11:29:59
2025-05-20 11:30:00,307.28,307.5,307.86,307.26,88213652.7,286900,2025-05-20 11:39:59
2025-05-20 11:40:00,307.5,308.0,308.0,307.45,71405075.8,232080,2025-05-20 11:49:59
2025-05-20 11:50:00,308.0,307.66,308.0,307.43,51035427.80000001,165820,2025-05-20 11:59:59
2025-05-20 12:00:00,307.65,307.33,307.65,307.3,50096078.400000006,162960,2025-05-20 12:09:59
2025-05-20 12:10:00,307.35,307.29,307.39,307.0,128958163.20000003,419870,2025-05-20 12:19:59
2025-05-20 12:20:00,307.29,307.73,307.79,307.23,51608591.30000002,167810,2025-05-20 12:29:59
2025-05-20 12:30:00,307.7,307.7,307.85,307.43,55876773.400000006,181590,2025-05-20 12:39:59
2025-05-20 12:40:00,307.71,308.04,308.28,307.64,83326901.4,270540,2025-05-20 12:49:59
2025-05-20 12:50:00,308.01,307.83,308.1,307.7,36218550.0,117620,2025-05-20 12:59:59
2025-05-20 13:00:00,307.82,307.49,307.9,307.49,28430798.2,92390,2025-05-20 13:09:59
2025-05-20 13:10:00,307.5,307.17,307.78,307.03,97858941.4,318410,2025-05-20 13:19:59
2025-05-20 13:20:00,307.17,307.03,307.21,307.0,122188520.1,397920,2025-05-20 13:29:59
2025-05-20 13:30:00,307.06,307.04,307.22,306.68,143159542.3,466320,2025-05-20 13:39:59
2025-05-20 13:40:00,307.06,307.14,307.19,307.0,30967733.899999995,100840,2025-05-20 13:49:59
2025-05-20 13:50:00,307.17,307.19,307.22,307.02,68467443.39999998,222940,2025-05-20 13:59:59
2025-05-20 14:00:00,307.19,307.42,307.68,307.17,137301031.69999996,446740,2025-05-20 14:09:59
2025-05-20 14:10:00,307.43,307.64,307.76,307.12,69940632.00000003,227450,2025-05-20 14:19:59
2025-05-20 14:20:00,307.63,307.71,307.78,307.45,100103392.4,325440,2025-05-20 14:29:59
2025-05-20 14:30:00,307.72,307.69,307.94,307.51,67553769.40000027,219530,2025-05-20 14:39:59
2025-05-20 14:40:00,307.69,307.77,307.85,307.52,39106708.60000001,127120,2025-05-20 14:49:59
2025-05-20 14:50:00,307.74,307.22,307.78,307.1,42474417.10000001,138180,2025-05-20 14:59:59
2025-05-20 15:00:00,307.21,307.09,307.27,307.08,39983260.4,130180,2025-05-20 15:09:59
2025-05-20 15:10:00,307.11,306.9,307.13,306.86,78291717.8,255040,2025-05-20 15:19:59
2025-05-20 15:20:00,306.9,307.3,307.39,306.89,54026587.3,175960,2025-05-20 15:29:59
2025-05-20 15:30:00,307.3,307.14,307.31,306.92,41353384.89999999,134640,2025-05-20 15:39:59
2025-05-20 15:40:00,307.1,307.02,307.12,306.9,24166007.399999995,78730,2025-05-20 15:49:59
2025-05-20 15:50:00,307.0,306.78,307.1,306.71,50978847.0,166130,2025-05-20 15:59:59
2025-05-20 16:00:00,306.78,306.41,307.02,306.31,130632573.90000004,426050,2025-05-20 16:09:59
2025-05-20 16:10:00,306.39,307.32,307.32,306.31,107008854.9,348740,2025-05-20 16:19:59
2025-05-20 16:20:00,307.32,306.99,307.4,306.85,51723730.699999996,168400,2025-05-20 16:29:59
2025-05-20 16:30:00,306.99,306.9,307.08,306.67,46223402.300000004,150630,2025-05-20 16:39:59
2025-05-20 16:40:00,306.93,306.66,307.06,306.55,50339835.2,164100,2025-05-20 16:49:59
2025-05-20 16:50:00,306.68,306.63,306.81,306.6,33154604.999999996,108110,2025-05-20 16:59:59
2025-05-20 17:00:00,306.65,306.81,306.97,306.58,34757419.2,113330,2025-05-20 17:09:59
2025-05-20 17:10:00,306.84,307.05,307.13,306.58,85256563.10000002,277810,2025-05-20 17:19:59
2025-05-20 17:20:00,307.05,307.03,307.17,306.92,39945252.2,130100,2025-05-20 17:29:59
2025-05-20 17:30:00,307.0,306.86,307.1,306.8,54795236.80000002,178550,2025-05-20 17:39:59
2025-05-20 17:40:00,306.83,306.87,306.91,306.65,46163976.00000001,150490,2025-05-20 17:49:59
2025-05-20 17:50:00,306.89,307.0,307.11,306.7,46610037.30000001,151860,2025-05-20 17:59:59
2025-05-20 18:00:00,307.01,306.5,307.12,306.5,114930454.69999997,374720,2025-05-20 18:09:59
2025-05-20 18:10:00,306.51,306.13,306.67,306.11,188992913.20000008,616950,2025-05-20 18:19:59
2025-05-20 18:20:00,306.12,306.13,306.2,305.75,246792468.8,806470,2025-05-20 18:29:59
2025-05-20 18:30:00,306.18,305.57,306.18,305.36,297743698.40000004,974100,2025-05-20 18:39:59
2025-05-20 18:40:00,305.2,305.2,305.2,305.2,65575272.0,214860,2025-05-20 18:49:59
2025-05-20 19:00:00,305.32,305.94,305.94,305.32,47401529.599999994,155070,2025-05-20 19:09:59
2025-05-20 19:10:00,305.94,305.89,306.0,305.73,59338787.8,193990,2025-05-20 19:19:59
2025-05-20 19:20:00,305.82,305.57,305.84,305.02,124530099.1,407880,2025-05-20 19:29:59
2025-05-20 19:30:00,305.56,305.24,305.62,305.1,53318136.599999994,174680,2025-05-20 19:39:59
2025-05-20 19:40:00,305.24,305.0,305.29,304.7,147574639.29999998,484020,2025-05-20 19:49:59
2025-05-20 19:50:00,305.0,304.94,305.02,304.76,33465040.6,109760,2025-05-20 19:59:59
2025-05-20 20:00:00,304.93,305.49,305.69,304.9,49954709.69999999,163570,2025-05-20 20:09:59
2025-05-20 20:10:00,305.49,305.52,305.9,305.39,69911799.8,228700,2025-05-20 20:19:59
2025-05-20 20:20:00,305.51,305.39,305.61,305.38,11359312.0,37180,2025-05-20 20:29:59
2025-05-20 20:30:00,305.39,305.33,305.47,305.12,17767556.900000043,58190,2025-05-20 20:39:59
2025-05-20 20:40:00,305.36,305.78,305.78,305.33,17337007.6,56740,2025-05-20 20:49:59
2025-05-20 20:50:00,305.78,305.79,305.8,305.78,17720202.1,57950,2025-05-20 20:59:59
2025-05-20 21:00:00,305.78,305.66,305.79,305.5,8930688.8,29220,2025-05-20 21:09:59
2025-05-20 21:10:00,305.66,305.35,305.66,305.35,15381856.799999999,50350,2025-05-20 21:19:59
2025-05-20 21:20:00,305.35,305.49,305.5,305.29,18296040.299999997,59920,2025-05-20 21:29:59
2025-05-20 21:30:00,305.49,305.52,305.61,305.49,3064513.6,10030,2025-05-20 21:39:59
2025-05-20 21:40:00,305.53,305.84,305.85,305.53,14388643.600000001,47060,2025-05-20 21:49:59
2025-05-20 21:50:00,305.84,305.87,305.9,305.76,12769386.8,41750,2025-05-20 21:59:59
2025-05-20 22:00:00,305.87,305.71,305.88,305.57,15988121.0,52310,2025-05-20 22:09:59
2025-05-20 22:10:00,305.71,305.77,305.82,305.7,9383438.2,30690,2025-05-20 22:19:59
2025-05-20 22:20:00,305.77,305.82,305.82,305.76,10681189.9,34930,2025-05-20 22:29:59
2025-05-20 22:30:00,305.82,305.97,305.98,305.81,17091991.900000002,55870,2025-05-20 22:39:59
2025-05-20 22:40:00,305.98,305.86,305.98,305.85,11813157.9,38620,2025-05-20 22:49:59
2025-05-20 22:50:00,305.85,305.93,305.94,305.85,2860187.1999999997,9350,2025-05-20 22:59:59
2025-05-20 23:00:00,305.93,305.99,305.99,305.93,8065536.100000001,26360,2025-05-20 23:09:59
2025-05-20 23:10:00,305.99,305.97,305.99,305.94,12511137.700000001,40890,2025-05-20 23:19:59
2025-05-20 23:20:00,305.97,306.04,306.11,305.97,11344693.999999998,37070,2025-05-20 23:29:59
2025-05-20 23:30:00,306.06,306.02,306.1,306.01,10751740.299999999,35130,2025-05-20 23:39:59
2025-05-20 23:40:00,306.03,306.16,306.4,305.99,31486347.9,102830,2025-05-20 23:49:59
2025-05-21 06:50:00,306.17,306.17,306.17,306.17,606216.6000000001,1980,2025-05-21 06:59:59
2025-05-21 07:00:00,306.18,306.35,306.96,306.16,52898885.89999999,172640,2025-05-21 07:09:59
2025-05-21 07:10:00,306.4,306.74,306.79,306.4,15942714.300000003,51990,2025-05-21 07:19:59
2025-05-21 07:20:00,306.74,306.79,306.8,306.3,50586168.400000006,165000,2025-05-21 07:29:59
2025-05-21 07:30:00,306.79,306.8,306.92,306.77,23793600.500000004,77540,2025-05-21 07:39:59
2025-05-21 07:40:00,306.8,306.97,306.97,306.77,42507039.3,138500,2025-05-21 07:49:59
2025-05-21 07:50:00,306.97,306.99,307.1,306.96,18773828.199999996,61150,2025-05-21 07:59:59
2025-05-21 08:00:00,306.99,307.2,307.29,306.96,37173273.10000001,121030,2025-05-21 08:09:59
2025-05-21 08:10:00,307.2,307.29,307.3,307.15,16489599.999999998,53670,2025-05-21 08:19:59
2025-05-21 08:20:00,307.24,307.38,307.56,307.23,62272226.09999999,202550,2025-05-21 08:29:59
2025-05-21 08:30:00,307.38,307.07,307.39,307.01,30903438.6,100610,2025-05-21 08:39:59
2025-05-21 08:40:00,307.07,307.05,307.2,307.01,15617382.500000002,50860,2025-05-21 08:49:59
2025-05-21 08:50:00,307.09,307.0,307.22,307.0,23772658.300000004,77420,2025-05-21 08:59:59
2025-05-21 09:00:00,307.0,306.5,307.04,306.41,79091562.90000002,257810,2025-05-21 09:09:59
2025-05-21 09:10:00,306.5,306.55,306.67,306.21,64146418.400000006,209370,2025-05-21 09:19:59
2025-05-21 09:20:00,306.54,306.85,306.9,306.47,30440248.799999997,99250,2025-05-21 09:29:59
2025-05-21 09:30:00,306.8,306.68,306.8,306.68,18118925.900000002,59080,2025-05-21 09:39:59
2025-05-21 09:40:00,306.68,306.37,306.69,306.37,16678676.7,54410,2025-05-21 09:49:59
2025-05-21 09:50:00,306.36,305.84,306.36,305.4,181428952.50000003,593150,2025-05-21 09:59:59
2025-05-21 10:00:00,305.89,305.34,306.3,305.19,195080763.79999998,638240,2025-05-21 10:09:59
2025-05-21 10:10:00,305.32,305.13,305.35,304.86,195213442.7,639900,2025-05-21 10:19:59
2025-05-21 10:20:00,305.13,304.68,305.14,304.25,274747836.29999995,901990,2025-05-21 10:29:59
2025-05-21 10:30:00,304.67,305.04,305.1,304.5,117330262.7,384850,2025-05-21 10:39:59
2025-05-21 10:40:00,305.04,305.09,305.42,305.0,105928139.60000001,347090,2025-05-21 10:49:59
2025-05-21 10:50:00,305.09,304.5,305.09,304.24,261004887.5000001,857060,2025-05-21 10:59:59
2025-05-21 11:00:00,304.48,304.56,305.23,304.41,229355904.8,752490,2025-05-21 11:09:59
2025-05-21 11:10:00,304.56,305.4,305.4,304.51,196481342.70000008,644270,2025-05-21 11:19:59
2025-05-21 11:20:00,305.38,305.19,305.38,305.11,28834271.500000004,94460,2025-05-21 11:29:59
2025-05-21 11:30:00,305.18,305.67,306.1,305.0,170849537.00000015,559310,2025-05-21 11:39:59
2025-05-21 11:40:00,305.68,305.85,305.88,305.25,52661453.0,172380,2025-05-21 11:49:59
2025-05-21 11:50:00,305.84,305.56,305.85,305.49,21850312.2,71490,2025-05-21 11:59:59
2025-05-21 12:00:00,305.52,304.91,305.61,304.57,145906348.40000015,478520,2025-05-21 12:09:59
2025-05-21 12:10:00,304.95,305.1,305.43,304.78,54329968.3,178100,2025-05-21 12:19:59
2025-05-21 12:20:00,305.11,305.2,305.26,305.0,31944701.3,104690,2025-05-21 12:29:59
2025-05-21 12:30:00,305.19,305.16,305.24,305.01,19325307.5,63340,2025-05-21 12:39:59
2025-05-21 12:40:00,305.15,305.25,305.4,304.91,21949932.7,71940,2025-05-21 12:49:59
2025-05-21 12:50:00,305.2,305.47,305.49,305.2,17459959.599999998,57180,2025-05-21 12:59:59
2025-05-21 13:00:00,305.46,305.13,305.47,305.04,28203082.9,92370,2025-05-21 13:09:59
2025-05-21 13:10:00,305.16,305.15,305.28,305.0,9802596.2,32130,2025-05-21 13:19:59
2025-05-21 13:20:00,305.13,305.14,305.5,305.0,28954589.899999995,94870,2025-05-21 13:29:59
2025-05-21 13:30:00,305.13,305.29,305.33,304.95,21986406.799999997,72030,2025-05-21 13:39:59
2025-05-21 13:40:00,305.29,305.48,305.48,305.23,10527704.599999998,34480,2025-05-21 13:49:59
2025-05-21 13:50:00,305.48,305.49,305.6,305.37,24419708.599999998,79930,2025-05-21 13:59:59
2025-05-21 14:00:00,305.49,305.78,305.79,305.39,18393080.0,60200,2025-05-21 14:09:59
2025-05-21 14:10:00,305.79,305.36,306.36,304.6,189760300.70000005,620770,2025-05-21 14:19:59
2025-05-21 14:20:00,305.36,306.66,306.8,305.34,330729757.80000377,1079580,2025-05-21 14:29:59
2025-05-21 14:30:00,306.68,306.31,306.95,305.68,217627144.90000004,710310,2025-05-21 14:39:59
2025-05-21 14:40:00,306.31,306.61,306.74,306.11,56964639.7,185890,2025-05-21 14:49:59
2025-05-21 14:50:00,306.61,306.72,306.78,306.44,36333530.50000001,118480,2025-05-21 14:59:59
2025-05-21 15:00:00,306.73,306.36,306.85,306.36,51484113.30000001,167900,2025-05-21 15:09:59
2025-05-21 15:10:00,306.36,306.44,306.57,306.35,21565805.600000005,70380,2025-05-21 15:19:59
2025-05-21 15:20:00,306.43,306.27,306.5,306.18,20596836.9,67230,2025-05-21 15:29:59
2025-05-21 15:30:00,306.3,305.77,306.37,305.64,42259890.199999996,138110,2025-05-21 15:39:59
2025-05-21 15:40:00,305.77,306.05,306.3,305.64,29955540.400000006,97910,2025-05-21 15:49:59
2025-05-21 15:50:00,306.06,305.91,306.44,305.91,42847551.39999999,139920,2025-05-21 15:59:59
2025-05-21 16:00:00,305.92,305.84,306.1,305.75,23079194.499999993,75450,2025-05-21 16:09:59
2025-05-21 16:10:00,305.86,306.02,306.25,305.81,38554998.89999999,125980,2025-05-21 16:19:59
2025-05-21 16:20:00,305.98,306.16,306.17,305.82,22811938.100000005,74550,2025-05-21 16:29:59
2025-05-21 16:30:00,306.15,306.0,306.2,305.87,15063170.3,49210,2025-05-21 16:39:59
2025-05-21 16:40:00,305.99,305.79,306.7,305.13,154205003.19999996,504210,2025-05-21 16:49:59
2025-05-21 16:50:00,305.74,306.01,306.05,305.6,22492106.3,73540,2025-05-21 16:59:59
2025-05-21 17:00:00,305.98,305.2,305.98,304.9,119523544.8,391650,2025-05-21 17:09:59
2025-05-21 17:10:00,305.23,304.84,305.23,304.6,62266024.099999994,204200,2025-05-21 17:19:59
2025-05-21 17:20:00,304.82,305.1,305.1,304.71,46579534.29999999,152790,2025-05-21 17:29:59
2025-05-21 17:30:00,305.11,305.36,305.38,305.05,43759476.0,143370,2025-05-21 17:39:59
2025-05-21 17:40:00,305.36,305.18,305.38,305.04,27687535.5,90740,2025-05-21 17:49:59
2025-05-21 17:50:00,305.2,305.5,305.65,305.07,43345343.1,141940,2025-05-21 17:59:59
2025-05-21 18:00:00,305.51,305.34,305.95,305.25,41374981.2,135350,2025-05-21 18:09:59
2025-05-21 18:10:00,305.38,304.05,305.58,304.0,233395834.20000002,766600,2025-05-21 18:19:59
2025-05-21 18:20:00,304.04,303.23,304.04,303.0,423757052.8999999,1396280,2025-05-21 18:29:59
2025-05-21 18:30:00,303.22,303.39,303.44,302.89,244420964.19999996,806160,2025-05-21 18:39:59
2025-05-21 18:40:00,303.58,303.58,303.58,303.58,27127908.80000002,89360,2025-05-21 18:49:59
2025-05-21 19:00:00,303.99,303.72,303.99,303.58,60020584.900000006,197590,2025-05-21 19:09:59
2025-05-21 19:10:00,303.72,304.14,304.24,303.71,73223458.10000001,240800,2025-05-21 19:19:59
2025-05-21 19:20:00,304.14,304.0,304.14,303.93,16389558.0,53910,2025-05-21 19:29:59
2025-05-21 19:30:00,304.0,303.9,304.0,303.67,30499239.800000004,100390,2025-05-21 19:39:59
2025-05-21 19:40:00,303.89,304.22,304.28,303.79,25351655.9,83380,2025-05-21 19:49:59
2025-05-21 19:50:00,304.22,303.94,304.3,303.89,16817724.8,55290,2025-05-21 19:59:59
2025-05-21 20:00:00,303.94,304.06,304.11,303.9,4876525.199999999,16040,2025-05-21 20:09:59
2025-05-21 20:10:00,304.09,304.19,304.2,304.0,9412659.6,30950,2025-05-21 20:19:59
2025-05-21 20:20:00,304.19,304.19,304.3,304.17,18971900.400000025,62360,2025-05-21 20:29:59
2025-05-21 20:30:00,304.18,303.7,304.19,303.66,29378257.499999996,96650,2025-05-21 20:39:59
2025-05-21 20:40:00,303.7,303.81,303.99,303.68,10843500.9,35700,2025-05-21 20:49:59
2025-05-21 20:50:00,303.86,303.64,303.89,303.61,13720107.600000001,45170,2025-05-21 20:59:59
2025-05-21 21:00:00,303.63,303.93,303.94,303.54,23725148.2,78130,2025-05-21 21:09:59
2025-05-21 21:10:00,303.88,303.89,304.08,303.84,10559648.499999998,34740,2025-05-21 21:19:59
2025-05-21 21:20:00,303.89,303.83,303.94,303.83,12254005.8,40330,2025-05-21 21:29:59
2025-05-21 21:30:00,303.84,303.66,303.84,303.61,9338836.5,30750,2025-05-21 21:39:59
2025-05-21 21:40:00,303.62,303.68,303.73,303.57,7630195.899999999,25130,2025-05-21 21:49:59
2025-05-21 21:50:00,303.68,303.52,303.69,303.5,22093505.000000004,72790,2025-05-21 21:59:59
2025-05-21 22:00:00,303.55,303.6,303.63,303.5,19601738.299999997,64580,2025-05-21 22:09:59
2025-05-21 22:10:00,303.6,303.59,303.65,303.52,20038311.599999998,66010,2025-05-21 22:19:59
2025-05-21 22:20:00,303.59,303.7,303.71,303.57,5182899.399999999,17070,2025-05-21 22:29:59
2025-05-21 22:30:00,303.71,304.02,304.06,303.71,12984775.799999999,42720,2025-05-21 22:39:59
2025-05-21 22:40:00,304.03,304.0,304.03,303.94,1669031.5999999999,5490,2025-05-21 22:49:59
2025-05-21 22:50:00,303.98,304.0,304.03,303.98,10293748.4,33860,2025-05-21 22:59:59
2025-05-21 23:00:00,304.0,304.07,304.16,303.99,28981766.9,95320,2025-05-21 23:09:59
2025-05-21 23:10:00,304.04,304.23,304.24,304.0,7237444.1,23800,2025-05-21 23:19:59
2025-05-21 23:20:00,304.22,304.23,304.24,304.14,13781478.7,45310,2025-05-21 23:29:59
2025-05-21 23:30:00,304.23,304.17,304.24,304.17,2877776.5,9460,2025-05-21 23:39:59
2025-05-21 23:40:00,304.17,303.98,304.18,303.98,31450695.199999996,103430,2025-05-21 23:49:59
2025-05-22 06:50:00,304.5,304.5,304.5,304.5,697305.0,2290,2025-05-22 06:59:59
2025-05-22 07:00:00,304.03,304.44,304.49,304.03,22252582.000000004,73130,2025-05-22 07:09:59
2025-05-22 07:10:00,304.38,304.69,304.75,304.35,27826082.799999997,91350,2025-05-22 07:19:59
2025-05-22 07:20:00,304.69,304.71,304.71,304.65,12071940.0,39620,2025-05-22 07:29:59
2025-05-22 07:30:00,304.71,304.05,304.71,304.0,31686837.90000002,104120,2025-05-22 07:39:59
2025-05-22 07:40:00,304.01,303.47,304.01,303.13,60641946.799999975,199830,2025-05-22 07:49:59
2025-05-22 07:50:00,303.48,303.49,303.5,303.47,7924151.899999999,26110,2025-05-22 07:59:59
2025-05-22 08:00:00,303.49,303.16,303.5,303.13,32482754.200000007,107110,2025-05-22 08:09:59
2025-05-22 08:10:00,303.17,302.8,303.26,302.72,60255851.2,198850,2025-05-22 08:19:59
2025-05-22 08:20:00,302.79,303.32,303.5,302.7,53532694.4,176690,2025-05-22 08:29:59
2025-05-22 08:30:00,303.32,303.04,303.34,302.94,8467233.9,27940,2025-05-22 08:39:59
2025-05-22 08:40:00,303.04,302.95,303.04,302.8,21757012.5,71830,2025-05-22 08:49:59
2025-05-22 08:50:00,302.95,303.3,303.3,302.93,24720842.2,81540,2025-05-22 08:59:59
2025-05-22 09:00:00,303.3,303.09,303.31,303.03,17533492.7,57830,2025-05-22 09:09:59
2025-05-22 09:10:00,303.09,303.53,303.79,303.02,105342984.9,347100,2025-05-22 09:19:59
2025-05-22 09:20:00,303.54,303.96,304.05,303.4,105254533.7,346500,2025-05-22 09:29:59
2025-05-22 09:30:00,303.96,303.81,304.0,303.77,109607411.99999999,360610,2025-05-22 09:39:59
2025-05-22 09:40:00,303.84,302.7,303.88,302.7,115383967.3,380670,2025-05-22 09:49:59
2025-05-22 09:50:00,302.7,302.83,302.9,302.53,84857867.39999998,280350,2025-05-22 09:59:59
2025-05-22 10:00:00,302.83,301.97,302.83,301.82,250311308.5999999,828240,2025-05-22 10:09:59
2025-05-22 10:10:00,301.97,302.07,302.31,301.74,129667286.49999999,429320,2025-05-22 10:19:59
2025-05-22 10:20:00,302.07,302.0,302.36,301.85,72659571.69999999,240550,2025-05-22 10:29:59
2025-05-22 10:30:00,302.0,302.39,302.59,301.89,140314984.2,464200,2025-05-22 10:39:59
2025-05-22 10:40:00,302.39,302.08,302.67,302.05,89762482.6,296780,2025-05-22 10:49:59
2025-05-22 10:50:00,302.08,301.43,302.11,301.35,201735285.4,668810,2025-05-22 10:59:59
2025-05-22 11:00:00,301.43,300.65,301.43,300.4,370837694.70000005,1233060,2025-05-22 11:09:59
2025-05-22 11:10:00,300.64,301.03,301.49,300.52,342266706.3999999,1137380,2025-05-22 11:19:59
2025-05-22 11:20:00,301.0,300.4,301.02,300.32,151892319.1,505130,2025-05-22 11:29:59
2025-05-22 11:30:00,300.39,300.66,300.98,300.22,169241163.7,563150,2025-05-22 11:39:59
2025-05-22 11:40:00,300.64,300.83,301.14,300.64,193390133.2,642710,2025-05-22 11:49:59
2025-05-22 11:50:00,300.83,300.45,300.98,300.41,119747394.6,398170,2025-05-22 11:59:59
2025-05-22 12:00:00,300.45,300.29,300.78,300.12,159201985.19999993,530070,2025-05-22 12:09:59
2025-05-22 12:10:00,300.29,300.46,300.9,300.21,149223096.69999993,496540,2025-05-22 12:19:59
2025-05-22 12:20:00,300.46,299.87,300.46,299.8,456101737.9000001,1520120,2025-05-22 12:29:59
2025-05-22 12:30:00,299.87,300.29,300.43,299.17,494985130.90000004,1651640,2025-05-22 12:39:59
2025-05-22 12:40:00,300.33,300.87,300.94,300.25,158315632.10000005,526540,2025-05-22 12:49:59
2025-05-22 12:50:00,300.86,300.54,301.11,300.5,169243521.99999997,562610,2025-05-22 12:59:59
2025-05-22 13:00:00,300.55,300.67,300.92,300.46,66231456.199999996,220260,2025-05-22 13:09:59
2025-05-22 13:10:00,300.67,301.45,301.79,300.53,159971851.0,530660,2025-05-22 13:19:59
2025-05-22 13:20:00,301.48,301.95,302.23,301.44,216457599.2,717040,2025-05-22 13:29:59
2025-05-22 13:30:00,301.94,301.65,301.96,301.52,52987560.099999994,175570,2025-05-22 13:39:59
2025-05-22 13:40:00,301.69,301.53,301.9,301.23,53756350.4,178240,2025-05-22 13:49:59
2025-05-22 13:50:00,301.51,301.44,301.74,301.21,36211659.7,120110,2025-05-22 13:59:59
2025-05-22 14:00:00,301.47,302.21,302.27,301.33,84201910.19999999,278940,2025-05-22 14:09:59
2025-05-22 14:10:00,302.21,302.02,302.27,301.76,59650156.7,197470,2025-05-22 14:19:59
2025-05-22 14:20:00,302.05,302.21,302.46,302.01,62969945.49999999,208300,2025-05-22 14:29:59
2025-05-22 14:30:00,302.2,302.31,302.4,302.01,41874470.49999999,138570,2025-05-22 14:39:59
2025-05-22 14:40:00,302.35,301.63,302.39,301.63,59834030.4,198120,2025-05-22 14:49:59
2025-05-22 14:50:00,301.65,301.36,301.65,301.35,47581627.199999996,157810,2025-05-22 14:59:59
2025-05-22 15:00:00,301.36,301.73,302.64,300.75,398540714.1000001,1321760,2025-05-22 15:09:59
2025-05-22 15:10:00,301.72,301.45,301.72,301.36,26426856.700000003,87650,2025-05-22 15:19:59
2025-05-22 15:20:00,301.45,301.25,301.46,300.74,121523611.3,403740,2025-05-22 15:29:59
2025-05-22 15:30:00,301.27,300.78,301.51,300.34,123309786.19999999,409850,2025-05-22 15:39:59
2025-05-22 15:40:00,300.75,302.29,302.5,300.2,368731061.49999964,1224030,2025-05-22 15:49:59
2025-05-22 15:50:00,302.3,303.04,304.52,302.16,550052484.1000003,1812370,2025-05-22 15:59:59
2025-05-22 16:00:00,303.04,302.84,303.8,302.67,186453217.70000005,614930,2025-05-22 16:09:59
2025-05-22 16:10:00,302.9,303.0,303.2,302.8,59572728.400000006,196640,2025-05-22 16:19:59
2025-05-22 16:20:00,303.01,302.04,303.01,301.93,150835147.10000002,498620,2025-05-22 16:29:59
